fixture_id,date,season,home_team,away_team,home_goals,away_goals,total_goals,over_2_5,home_attack_rating_joint,home_defense_rating_joint,away_attack_rating_joint,away_defense_rating_joint,home_xg_last5_weighted_ucl,away_xg_last5_weighted_ucl,home_xg_against_last5_weighted_ucl,away_xg_against_last5_weighted_ucl,home_expected_rating_joint,away_expected_rating_joint,combined_expected_rating_joint,rating_gap_joint,home_expected_geo_ucl,away_expected_geo_ucl,combined_expected_geo_ucl,poisson_p_over_geo_ucl
901884,2022-08-02,2022,Monaco,PSV Eindhoven,1,1,2,0,0.0009293563740914115,-0.0014876548501823617,0.003636488568146225,-0.0008704291298775527,,,,,5.892724421385884e-05,0.0021488337179638634,0.0022077609621777225,-0.0020899064737500044,,,,
946855,2022-09-06,2022,Paris Saint Germain,Juventus,2,1,3,1,0.004383857237700845,-0.001602869768459542,0.00026256219534796527,-0.0017324242966576954,,,,,0.0026514329410431492,-0.0013403075731115766,0.0013111253679315726,0.003991740514154726,,,,
946854,2022-09-06,2022,Sevilla,Manchester City,0,4,4,1,-0.0004144541034895378,-0.0022419699159025802,0.0051908646444626455,-0.0026169779981631966,,,,,-0.0030314321016527345,0.0029488947285600652,-8.253737309266932e-05,-0.0059803268302128,,,,
946864,2022-09-07,2022,Tottenham,Marseille,2,0,2,0,0.001499460480914699,-0.0012414951665627313,0.0010000321024041484,-0.0014073327463421748,,,,,9.212773457252434e-05,-0.00024146306415858288,-0.00014933532958605854,0.0003335907987311072,,,,
946859,2022-09-07,2022,Napoli,Liverpool,4,1,5,1,0.002200349265542138,-0.0019569911718278453,0.004292202702047808,-0.002601797749653872,,,,,-0.00040144848411173377,0.002335211530219963,0.001933763046108229,-0.0027366600143316966,,,,
946863,2022-09-07,2022,Inter,Bayern Munich,0,2,2,0,0.0025063243750703024,-0.0023142167514027573,0.006362493238671646,-0.0017832828880777179,,,,,0.0007230414869925845,0.004048276487268888,0.0047713179742614725,-0.003325235000276304,,,,
946871,2022-09-13,2022,Bayern Munich,Barcelona,2,0,2,0,0.005909872384953327,-0.0017667057423848373,0.0014935505657218018,-0.0016540043345882138,,,,,0.0042558680503651134,-0.0002731551766630355,0.003982712873702078,0.004529023227028149,,,,
946870,2022-09-13,2022,Bayer Leverkusen,Atletico Madrid,2,0,2,0,0.0023142010383269684,8.323206327661857e-05,0.0006774873834095681,-0.0013975828577229379,,,,,0.0009166181806040305,0.0007607194466861867,0.0016773376272902173,0.00015589873391784383,,,,
946867,2022-09-13,2022,Liverpool,Ajax,2,1,3,1,0.004459058405877389,-0.0024446750495677244,0.005817183866988318,-0.003004353229826048,,,,,0.0014547051760513412,0.0033725088174205936,0.004827213993471935,-0.0019178036413692525,,,,
946872,2022-09-13,2022,Marseille,Eintracht Frankfurt,0,1,1,0,0.0010032747065085806,-0.0016068770324509242,-0.0001504951866042151,0.0004731758361492218,,,,,0.0014764505426578024,-0.0017573722190551391,-0.00028092167639733674,0.0032338227617129418,,,,
946877,2022-09-14,2022,Manchester City,Borussia Dortmund,2,1,3,1,0.005518946763365284,-0.002612092794091028,0.003041600696736702,0.0002793313722301038,,,,,0.005798278135595388,0.0004295079026456739,0.006227786038241062,0.0053687702329497135,,,,
946876,2022-09-14,2022,Real Madrid,RB Leipzig,2,0,2,0,0.003415402226486318,-0.002434383139256922,0.0023509406776707604,-0.00018173054943876492,,,,,0.003233671677047553,-8.344246158616163e-05,0.0031502292154613914,0.0033171141386337147,,,,
946888,2022-10-04,2022,Eintracht Frankfurt,Tottenham,0,0,0,0,-1.4662329471645361e-05,0.0002121894146605738,0.0016409861714774079,-0.0011666134932754122,,,,,-0.0011812758227470576,0.0018531755861379818,0.0006718997633909241,-0.003034451408885039,,,,
946884,2022-10-04,2022,Ajax,Napoli,1,6,7,1,0.005503643610421869,-0.0028382847974193536,0.002305517111371078,-0.0022000822320917233,,,,,0.003303561378330146,-0.0005327676860482754,0.0027707936922818704,0.0038363290643784213,,,,
