fixture_id,mkt_over25_prob
1552175,0.5993369038510584
1552177,0.7291666666666667
1552179,0.73679901760131
1552174,0.7619047619047619
1552176,0.6944444444444444
1552171,0.6944444444444444
1552169,0.791974656810982
1552170,0.6725146198830411
1552172,0.6380368098159509
1552166,0.6944444444444444
1552167,0.625
1552143,0.7746219107340465
1552173,0.6944444444444444
1552165,0.6725146198830411
1552168,0.6725146198830411
1552155,0.6102212051868803
1552161,0.625
1552136,0.5993369038510584
1552163,0.7291666666666667
1552164,0.7183604479188676
1552160,0.6725146198830411
1552158,0.6725146198830411
1552159,0.6944444444444444
1552157,0.5993369038510584
1552156,0.7291666666666667
1552152,0.7183604479188676
1552162,0.7619047619047619
1552153,0.5993369038510584
1552149,0.7619047619047619
1552154,0.625
1552147,0.6725146198830411
1552148,0.73679901760131
1552150,0.6515444015444016
1552146,0.7183604479188676
1552140,0.7619047619047619
1552145,0.5821474773609314
1552139,0.6515444015444016
1552141,0.7183604479188676
1552138,0.6515444015444016
1552135,0.6380368098159509
1552134,0.6725146198830411
1552131,0.5632695834424941
1552132,0.73679901760131
1552133,0.6725146198830411
1552129,0.7183604479188676
1552127,0.6380368098159509
1552128,0.5632695834424941
1552130,0.625
1552126,0.6102212051868803
1552122,0.6102212051868803
1552125,0.6380368098159509
1552124,0.6380368098159509
1552123,0.5263157894736842
1552121,0.625
1552120,0.7746219107340465
1552118,0.6725146198830411
1552119,0.6102212051868803
1552117,0.5394736842105263
1545411,0.5714285714285715
1545412,0.5897435897435896
1381165,0.5459317585301837
1381170,0.5994897959183673
1381168,0.7749077490774907
1381167,0.5994897959183673
1381171,0.6728971962616822
1381164,0.7291666666666667
1381169,0.7619047619047619
1381172,0.695067264573991
1381166,0.695067264573991
1381163,0.695067264573991
1381160,0.6106870229007634
1381162,0.6521739130434782
1381159,0.5813953488372093
1381156,0.5714285714285715
1381158,0.7361963190184049
1381155,0.6372549019607844
1381157,0.625
1381161,0.5897435897435896
1381147,0.6521739130434782
1381152,0.625
1381148,0.6521739130434782
1381151,0.6106870229007634
1381150,0.695067264573991
1381146,0.695067264573991
1381154,0.6372549019607844
1381149,0.5897435897435896
1381141,0.5897435897435896
1381153,0.5813953488372093
1381143,0.7749077490774907
1381137,0.5526315789473685
1381140,0.695067264573991
1381145,0.6372549019607844
1381142,0.5813953488372093
1381138,0.6106870229007634
1381144,0.5994897959183673
1381136,0.5459317585301837
1381139,0.6728971962616822
1381128,0.6521739130434782
1381131,0.625
1381132,0.5263157894736842
1381133,0.7188160676532769
1381130,0.6521739130434782
1381134,0.7291666666666667
1381122,0.6372549019607844
1381125,0.5526315789473685
1381124,0.6728971962616822
1381135,0.625
1381129,0.625
1381123,0.5994897959183673
1381119,0.6106870229007634
1381120,0.695067264573991
1381121,0.625
1381110,0.625
1381126,0.7188160676532769
1381116,0.7291666666666667
1381127,0.5994897959183673
1381115,0.625
1381113,0.6728971962616822
