fill_id,order_id,ticker,action,side,count,price_dollars,fee_dollars,cost_dollars,created_time,logged_at,settled,result,payout_dollars,pnl_dollars,settled_at
0721d1e9-10d9-8df1-83c6-e4f837e7c9ed,01a06d8d-83d0-7d95-83d1-e874bc805ec1,KXLIGUE1TOTAL-26SEP05RCLFCL-3,buy,yes,2.0,0.6,0.0336,1.2336,2026-09-04T17:53:06.604748Z,2026-09-04T17:56:29.424849+00:00,False,,,,
0721dabc-ab91-8c3e-8ae1-b2a9e81ca597,01a06dc2-66e0-7f7d-81f4-a3614447505f,KXLIGUE1TOTAL-26SEP04PSGASM-3,buy,yes,1.41,0.71,0.0204,1.0215,2026-09-04T18:50:52.067774Z,2026-09-04T18:52:00.519384+00:00,True,yes,1.41,0.3885,2026-09-05T00:50:32.476871+00:00
0721da93-fe31-aaff-32ca-5cd9c3cff724,01a06dc2-5740-7419-afaa-7342824cc290,KXLALIGATOTAL-26SEP04RBBRMA-3,buy,yes,1.41,0.71,0.0204,1.0215,2026-09-04T18:50:48.357891Z,2026-09-04T18:52:00.519437+00:00,True,no,0.0,-1.0215,2026-09-05T00:50:32.684625+00:00
0721e304-a111-a773-24a8-9870f049c169,01a06dbf-f9c8-7407-a2fb-70e8dd357b57,KXMLSTOTAL-26SEP04NYCNSH-3,buy,yes,2.0,0.55,0.0347,1.1347,2026-09-04T18:48:13.993664Z,2026-09-04T18:52:00.519441+00:00,False,,,,
0721db48-4631-a94e-3cfc-1c7bd0a0ed5f,01a06dbf-5d88-7621-ac73-c8d5ca68426d,KXLIGUE1TOTAL-26SEP04PSGASM-3,buy,yes,1.0,0.71,0.0145,0.7245,2026-09-04T18:47:33.410691Z,2026-09-04T18:52:00.519445+00:00,True,yes,1.0,0.2755,2026-09-05T00:50:32.892188+00:00
0721db63-ec91-9657-52ac-9fdfb2baaaa4,01a06dbe-53e8-7b33-b7b3-c3831e1195f0,KXLALIGATOTAL-26SEP04RBBRMA-3,buy,yes,1.0,0.71,0.0145,0.7245,2026-09-04T18:46:25.27023Z,2026-09-04T18:52:00.519448+00:00,True,no,0.0,-0.7245,2026-09-05T00:50:32.892210+00:00
0721e340-1389-a3bb-60ae-275fdad51f5c,01a06f0b-9850-751c-b3f5-9b4f00f3de25,KXMLSTOTAL-26SEP05CINDCU-3,buy,yes,1.43,0.7,0.0211,1.0221,2026-09-05T00:50:26.707828Z,2026-09-05T00:50:31.473940+00:00,False,,,,
0721d1db-81d1-bde6-52bd-d6815d944273,01a06f0b-8c98-736a-b604-db96ff0ec61a,KXEREDIVISIETOTAL-26SEP05NIJFEY-3,buy,yes,1.37,0.73,0.019,1.0191,2026-09-05T00:50:23.887772Z,2026-09-05T00:50:31.473977+00:00,False,,,,
0721d2bb-2799-ae2d-1cff-db342abfd56d,01a06f0b-80e0-74bf-ad66-c32f2039c619,KXMLSTOTAL-26SEP05MIAATL-3,buy,yes,1.27,0.79,0.0148,1.0181,2026-09-05T00:50:20.380524Z,2026-09-05T00:50:31.473982+00:00,False,,,,
0721d293-b239-98eb-eef7-f430f11f8a22,01a06f0b-7528-7bdf-9694-b5d6c280e338,KXBUNDESLIGATOTAL-26SEP05SCHBMU-3,buy,yes,1.25,0.8,0.014,1.014,2026-09-05T00:50:17.301323Z,2026-09-05T00:50:31.473986+00:00,False,,,,
0721d292-2269-8086-d1e8-8b651c6b0b2a,01a06f0b-6970-7fbd-92e5-9b3212bcf24c,KXMLSTOTAL-26SEP05PHIMTL-3,buy,yes,1.49,0.67,0.0231,1.0214,2026-09-05T00:50:14.183968Z,2026-09-05T00:50:31.473990+00:00,False,,,,
0721d292-bad9-b360-e7e6-d1a538090811,01a06f0b-59d0-73fc-923c-1c44bcd1f828,KXEREDIVISIETOTAL-26SEP05FCUGAE-3,buy,yes,1.56,0.64,0.0252,1.0236,2026-09-05T00:50:10.470765Z,2026-09-05T00:50:31.473994+00:00,False,,,,
0721d2b7-3d79-b052-1559-9614d21ac1cd,01a06f0b-4a30-73e0-a271-05f15d299f18,KXBUNDESLIGATOTAL-26SEP05LEVUNI-3,buy,yes,1.47,0.68,0.0224,1.022,2026-09-05T00:50:06.636594Z,2026-09-05T00:50:31.473997+00:00,False,,,,
